Tahun,Bulan,Jenis,Hasanudin-Makassar,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2024,Januari,Domestik,226312,407656,225772,404413,1377314
2024,Januari,Internasional,226312,407656,225772,404413,1377314
2024,Juli,Domestik,279344,519012,216423,456189,1767891
2024,Juli,Internasional,279344,519012,216423,456189,1767891
2024,Juni,Domestik,233781,448073,190287,395723,1584802
2024,Juni,Internasional,233781,448073,190287,395723,1584802
2024,Maret,Domestik,196465,356325,158265,302332,1362594
2024,Maret,Internasional,196465,356325,158265,302332,1362594
2024,Mei,Domestik,232896,498862,191394,413208,1560672
2024,Mei,Internasional,232896,498862,191394,413208,1560672
2024,November,Domestik,-,-,-,-,-
2024,November,Internasional,-,-,-,-,-
2024,Oktober,Domestik,229525,441084,177282,386797,1576731
2024,Oktober,Internasional,229525,441084,177282,386797,1576731
2024,September,Domestik,237863,435594,205372,423374,1614542
2024,September,Internasional,237863,435594,205372,423374,1614542
2024,Tahunan,Domestik,-,-,-,-,-
2024,Tahunan,Internasional,-,-,-,-,-
